home_team,away_team,home_score,home_xg,away_score,away_xg,Attendance,Venue,Round,Date,Score,Host,Year
Argentina,France,3,3.3,3,2.2,88966,"Lusail Iconic Stadium, Lusail",Final,18-12-2022,(4) 3–3 (2),Qatar,2022
Croatia,Morocco,2,0.7,1,1.2,44137,"Khalifa International Stadium, Doha",Third-place match,17-12-2022,2–1,Qatar,2022
France,Morocco,2,2,0,0.9,68294,"Al Bayt Stadium, Al Khor",Semi-finals,14-12-2022,2–0,Qatar,2022
Argentina,Croatia,3,2.3,0,0.5,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,13-12-2022,3–0,Qatar,2022
Morocco,Portugal,1,1.4,0,0.9,44198,"Al Thumama Stadium, ath-Thumāma",Quarter-finals,10-12-2022,1–0,Qatar,2022
England,France,1,2.4,2,0.9,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,10-12-2022,1–2,Qatar,2022
Croatia,Brazil,1,0.6,1,2.5,43893,"Education City Stadium, Doha",Quarter-finals,09-12-2022,(4) 1–1 (2),Qatar,2022
Netherlands,Argentina,2,0.6,2,1.9,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,09-12-2022,(3) 2–2 (4),Qatar,2022
Morocco,Spain,0,0.7,0,1,44667,"Education City Stadium, Doha",Round of 16,06-12-2022,(3) 0–0 (0),Qatar,2022
Portugal,Switzerland,6,2.3,1,1.2,83720,"Lusail Iconic Stadium, Lusail",Round of 16,06-12-2022,6–1,Qatar,2022
Japan,Croatia,1,1.2,1,1.4,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,05-12-2022,(1) 1–1 (3),Qatar,2022
Brazil,Korea Republic,4,3.6,1,0.5,43847,"Stadium 974, Doha",Round of 16,05-12-2022,4–1,Qatar,2022
France,Poland,3,1.4,1,1.7,40989,"Al Thumama Stadium, ath-Thumāma",Round of 16,04-12-2022,3–1,Qatar,2022
England,Senegal,3,1,0,0.8,65985,"Al Bayt Stadium, Al Khor",Round of 16,04-12-2022,3–0,Qatar,2022
Netherlands,United States,3,1.7,1,1.5,44846,"Khalifa International Stadium, Doha",Round of 16,03-12-2022,3–1,Qatar,2022
Argentina,Australia,2,1.6,1,0.6,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Round of 16,03-12-2022,2–1,Qatar,2022
Korea Republic,Portugal,2,1.7,1,1.3,44097,"Education City Stadium, Doha",Group stage,02-12-2022,2–1,Qatar,2022
Ghana,Uruguay,0,1.6,2,1.8,43443,"Al Janoub Stadium, Al Wakrah",Group stage,02-12-2022,0–2,Qatar,2022
Cameroon,Brazil,1,0.5,0,2.5,85986,"Lusail Iconic Stadium, Lusail",Group stage,02-12-2022,1–0,Qatar,2022
Serbia,Switzerland,2,1.3,3,2.7,41378,"Stadium 974, Doha",Group stage,02-12-2022,2–3,Qatar,2022
Canada,Morocco,1,1.4,2,0.5,43102,"Al Thumama Stadium, ath-Thumāma",Group stage,01-12-2022,1–2,Qatar,2022
Croatia,Belgium,0,0.7,0,3,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,01-12-2022,0–0,Qatar,2022
Costa Rica,Germany,2,1.3,4,5.7,67054,"Al Bayt Stadium, Al Khor",Group stage,01-12-2022,2–4,Qatar,2022
Japan,Spain,2,1.4,1,1,44851,"Khalifa International Stadium, Doha",Group stage,01-12-2022,2–1,Qatar,2022
Australia,Denmark,1,0.6,0,0.6,41232,"Al Janoub Stadium, Al Wakrah",Group stage,30-11-2022,1–0,Qatar,2022
Tunisia,France,1,0.5,0,0.8,43627,"Education City Stadium, Doha",Group stage,30-11-2022,1–0,Qatar,2022
Saudi Arabia,Mexico,1,1.1,2,2.3,84985,"Lusail Iconic Stadium, Lusail",Group stage,30-11-2022,1–2,Qatar,2022
Poland,Argentina,0,0.3,2,3.5,44089,"Stadium 974, Doha",Group stage,30-11-2022,0–2,Qatar,2022
